overview_date,portfolio_id,instrument_name,instrument_id,book_name,asset_value,dtd_ativo_fin,exposure_value,exposure_value_ontem,asset_value_ontem,dtd_ativo_pct,Year,Month,mtd_ativo_pct,ytd_ativo_pct,grupo_1,grupo_2,grupo_3
2023-06-27,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,300070617.31460273,70617.31460273266,300070617.31460273,300000000.0,300000000.0,0.0002353910486757,2023.0,6.0,0.0002353910486758,0.0002353910486758,Risco,Renda Fixa,
2023-06-28,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,300141254.3694241,70637.05482137203,300141254.3694241,300070617.31460273,300070617.31460273,0.0002354014380132,2023.0,6.0,0.0004708478980803,0.0004708478980803,Risco,Renda Fixa,
2023-06-29,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,300211911.1712542,70656.80183011293,300211911.1712542,300141254.3694241,300141254.3694241,0.0002354118296018,2023.0,6.0,0.0007063705708474,0.0007063705708474,Risco,Renda Fixa,
2023-06-30,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,300282587.72688574,70676.55563151836,300282587.72688574,300211911.1712542,300211911.1712542,0.0002354222234413,2023.0,6.0,0.0009419590896191,0.0009419590896191,Risco,Renda Fixa,
2023-07-03,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,500377105.6238854,94517.89699965715,500377105.6238854,300282587.72688574,300282587.72688574,0.0003147631626433,2023.0,7.0,0.0003147631626434,0.0012570187462848,Risco,Renda Fixa,
2023-07-04,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,500576874.31659245,199768.69270706177,500576874.31659245,500377105.6238854,500377105.6238854,0.0003992362769235,2023.0,7.0,0.0007141251044402,0.0016567568706926,Risco,Renda Fixa,
2023-07-05,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,500735452.82927805,158578.51268559694,500735452.82927805,500576874.31659245,500576874.31659245,0.0003167915275792,2023.0,7.0,0.0010311428608023,0.0019740732448116,Risco,Renda Fixa,
2023-07-06,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,500893137.3099688,157684.4806907773,500893137.3099688,500735452.82927805,500735452.82927805,0.0003149057647103,2023.0,7.0,0.0013463733383436,0.0022896006565666,Risco,Renda Fixa,
2023-07-07,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,501050876.38190126,157739.07193243504,501050876.38190126,500893137.3099688,500893137.3099688,0.0003149156180888,2023.0,7.0,0.0016617129504243,0.0026052373056615,Risco,Renda Fixa,
2023-07-10,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,501208670.0659303,157793.68402904272,501208670.0659303,501050876.38190126,501050876.38190126,0.0003149254725757,2023.0,7.0,0.0019771617387362,0.0029209832338268,Risco,Renda Fixa,
2023-07-11,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,501366518.38292,157848.31698971987,501366518.38292,501208670.0659303,501208670.0659303,0.0003149353281717,2023.0,7.0,0.0022927197449891,0.0032368384828118,Risco,Renda Fixa,
2023-07-12,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,501524421.35374296,157902.97082293034,501524421.35374296,501366518.38292,501366518.38292,0.0003149451848763,2023.0,7.0,0.0026083870109092,0.0035528030943825,Risco,Renda Fixa,
2023-07-13,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,501682378.99928063,157957.64553767443,501682378.99928063,501524421.35374296,501524421.35374296,0.0003149550426902,2023.0,7.0,0.0029241635782417,0.003868877110323,Risco,Renda Fixa,
2023-07-14,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,501840391.340423,158012.3411423564,501840391.340423,501682378.99928063,501682378.99928063,0.0003149649016127,2023.0,7.0,0.0032400494887483,0.0041850605724342,Risco,Renda Fixa,
2023-07-17,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,501998458.39806914,158067.05764615536,501998458.39806914,501840391.340423,501840391.340423,0.0003149747616447,2023.0,7.0,0.0035560447842084,0.0045013535225351,Risco,Renda Fixa,
2023-07-18,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,502156580.1931266,158121.79505747557,502156580.1931266,501998458.39806914,501998458.39806914,0.0003149846227856,2023.0,7.0,0.0038721495064191,0.004817756002462,Risco,Renda Fixa,
2023-07-19,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,502314756.7465117,158176.5533850789,502314756.7465117,502156580.1931266,502156580.1931266,0.0003149944850354,2023.0,7.0,0.0041883636971942,0.0051342680540684,Risco,Renda Fixa,
2023-07-20,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,502472988.0791498,158231.3326381445,502472988.0791498,502314756.7465117,502314756.7465117,0.000315004348395,2023.0,7.0,0.0045046873983665,0.0054508897192264,Risco,Renda Fixa,
2023-07-21,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,502631274.2119748,158286.13282495737,502631274.2119748,502472988.0791498,502472988.0791498,0.0003150142128635,2023.0,7.0,0.0048211206517851,0.0057676210398243,Risco,Renda Fixa,
2023-07-24,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,502789615.1659296,158340.95395481586,502789615.1659296,502631274.2119748,502631274.2119748,0.0003150240784421,2023.0,7.0,0.0051376634993178,0.0060844620577693,Risco,Renda Fixa,
2023-07-25,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,502948010.9619653,158395.796035707,502948010.9619653,502789615.1659296,502789615.1659296,0.0003150339451291,2023.0,7.0,0.0054543159828479,0.0064014128149845,Risco,Renda Fixa,
2023-07-26,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,503106461.6210427,158450.65907740593,503106461.6210427,502948010.9619653,502948010.9619653,0.0003150438129267,2023.0,7.0,0.005771078144279,0.0067184733534126,Risco,Renda Fixa,
2023-07-27,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,503264967.1641306,158505.54308789968,503264967.1641306,503106461.6210427,503106461.6210427,0.0003150536818334,2023.0,7.0,0.0060879500255299,0.0070356437150125,Risco,Renda Fixa,
2023-07-28,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,503423527.612207,158560.44807636738,503423527.612207,503264967.1641306,503264967.1641306,0.0003150635518499,2023.0,7.0,0.0064049316685383,0.0073529239417606,Risco,Renda Fixa,
2023-07-31,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,503582142.9862584,158615.37405139208,503582142.9862584,503423527.612207,503423527.612207,0.0003150734229759,2023.0,7.0,0.0067220231152591,0.0076703140756517,Risco,Renda Fixa,
2023-08-01,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,503749248.3382429,167105.35198450089,503749248.3382429,503582142.9862584,503582142.9862584,0.0003318333549191,2023.0,8.0,0.0003318333549191,0.0080046926966239,Risco,Renda Fixa,
2023-08-02,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,503916128.885704,166880.54746109247,503916128.885704,503749248.3382429,503749248.3382429,0.0003312770153237,2023.0,8.0,0.0006632202990064,0.0083386214826528,Risco,Renda Fixa,
2023-08-03,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,504083065.4558115,166936.57010751963,504083065.4558115,503916128.885704,503916128.885704,0.0003312784817518,2023.0,8.0,0.0009947184913718,0.0086726623702693,Risco,Renda Fixa,
2023-08-04,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,504250058.0676725,166992.61186099052,504250058.0676725,504083065.4558115,504083065.4558115,0.0003312799482958,2023.0,8.0,0.001326327969958,0.0090068153977067,Risco,Renda Fixa,
2023-08-07,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,504417106.7404005,167048.67272800207,504417106.7404005,504250058.0676725,504250058.0676725,0.0003312814149554,2023.0,8.0,0.00165804877272,0.0093410806032114,Risco,Renda Fixa,
2023-08-08,1295.0,BETA CURVA,0.0,Risco >> Renda Fixa,504584211.4931162,167104.75271570685,504584211.4931162,504417106.7404005,504417106.7404005,0.0003312828817316,2023.0,8.0,0.001989880937627,0.0096754580250437,Risco,Renda Fixa,
